# x_m,y_m
-4.957529,-1.715452
-4.695800,-2.680486
-4.434090,-3.645526
-4.172402,-4.610574
-3.910737,-5.575630
-3.649096,-6.540693
-3.387483,-7.505759
-3.125898,-8.470833
-2.864342,-9.435917
-2.602818,-10.401011
-2.341326,-11.366114
-2.079870,-12.331222
-1.818450,-13.296340
-1.557067,-14.261471
-1.295723,-15.226614
-1.034419,-16.191769
-0.773158,-17.156930
-0.511941,-18.122104
-0.250770,-19.087292
0.010352,-20.052495
0.271424,-21.017712
0.532444,-21.982946
0.793413,-22.948192
1.054334,-23.913449
1.315208,-24.878715
1.576037,-25.843988
1.836832,-26.809291
2.097590,-27.774597
2.358317,-28.739905
2.619020,-29.705213
2.879705,-30.670519
3.140385,-31.635854
3.401057,-32.601184
3.661727,-33.566507
3.922401,-34.531822
4.183083,-35.497129
4.443788,-36.462457
4.704513,-37.427773
4.965263,-38.393075
5.226043,-39.358361
5.486859,-40.323631
5.747726,-41.288916
6.008640,-42.254181
6.269607,-43.219424
6.530632,-44.184643
6.791721,-45.149839
7.052888,-46.115045
7.314130,-47.080222
7.575452,-48.045369
7.836858,-49.010485
8.098354,-49.975568
8.359956,-50.940653
8.621659,-51.905703
8.883471,-52.870715
9.145397,-53.835691
9.407446,-54.800630
9.669623,-55.765542
9.931926,-56.730420
10.194352,-57.695265
10.456898,-58.660082
10.719562,-59.624870
10.982333,-60.589609
11.245214,-61.554326
11.508200,-62.519021
11.771286,-63.483697
12.034466,-64.448352
12.297727,-65.412958
12.561073,-66.377548
12.824500,-67.342123
13.088003,-68.306685
13.351577,-69.271232
13.615209,-70.235737
13.878903,-71.200232
14.142654,-72.164718
14.406459,-73.129197
14.670311,-74.093668
14.934198,-75.058104
15.198124,-76.022536
15.462084,-76.986965
15.726073,-77.951394
15.990086,-78.915820
16.254111,-79.880218
16.518152,-80.844618
16.782203,-81.809022
17.046261,-82.773432
17.310319,-83.737846
17.574367,-84.702241
17.838406,-85.666644
18.102432,-86.631056
18.366441,-87.595478
18.630426,-88.559908
18.894381,-89.524337
19.158309,-90.488774
19.422212,-91.453220
19.686088,-92.417673
19.949939,-93.382132
20.213767,-94.346599
20.477570,-95.311072
20.741351,-96.275549
21.005110,-97.240032
21.268847,-98.204520
21.532565,-99.169017
21.796263,-100.133518
22.059942,-101.098024
22.323603,-102.062534
22.587247,-103.027048
22.850875,-103.991569
23.114487,-104.956094
23.378084,-105.920622
23.641666,-106.885154
23.905235,-107.849688
24.168793,-108.814229
24.432338,-109.778772
24.695872,-110.743317
24.959396,-111.707864
25.222910,-112.672414
